Paper,Authors,Affiliation,DOI,Date,Venue,Goal,Research Questions,Key Findings,Future Work,Scope from our taxonomy,SDLC stage from waterfall,Context,Eligibility score
“It would work for me too”: How Online Communities Shape Software Developers’ Trust in AI-Powered Code Generation Tools,"Ruijia Cheng, Ruotong Wang, Thomas Zimmermann, Denae Ford","Academia, Industry",https://doi.org/10.1145/3651990,2024,ACM Transactions on Interactive Intelligent Systems,The goal of the study is to investigate how online communities shape software developers' trust in AI-powered code generation tools.,"1. How do online communities shape software developers' trust in AI-powered code generation tools?
2. What are the design opportunities of incorporating a user community into the experience of AI code generation tools to help developers form appropriate trust?","1) Online communities shape developers' trust in AI-powered code generation tools through two pathways: collective sensemaking and community heuristics.
2) Developers face several challenges in engaging with community-curated experiences and evaluation signals, including lack of dedicated channels, high cost of sharing, and missing details for reproducibility.
3) The study provides design recommendations for integrating user communities into AI systems to help build appropriate trust, such as scaffolding users to share experiences, presenting content hierarchically, and enabling users to apply community insights to their use cases.","1) Exploring the role of communities in building trust for other generative AI applications beyond just code generation tools
2) Investigating the longitudinal impact of communities on trust building as AI code generation tools and user experiences evolve over time
3) Examining the role of communities and trust for the ""next generation"" of software developers who may be enabled by AI to create software, beyond just current professional developers",Impact,Unspecified,Professional,4
“It’s Weird That it Knows What I Want”: Usability and Interactions with Copilot for Novice Programmers,"James Prather, Brent N Reeves, Paul Denny, Brett A Becker, Andrew Luxton-Reilly, Garrett Powell, James Finnie-Ansley, Juho Leinonen, James Finnie- Ansley, Eddie Antonio Santos",Academia,https://doi.org/10.1145/3617367,2023,ACM Transactions on Computer-Human Interaction,"The goal of this paper is to explore how novice programmers interact with and perceive the use of the AI code generation tool GitHub Copilot, including observing their interactions, understanding their perceptions of the benefits and dangers, and contributing new interaction patterns and design implications.","RQ1: How do novices interact with GitHub Copilot when they first encounter it?
RQ2: How do novices perceive their first-time experience of using GitHub Copilot?","1. Novice programmers struggle to understand and use Copilot effectively, often drifting aimlessly between Copilot's suggestions without making progress.
2. Novices expressed both positive and negative sentiments about using Copilot, with excitement about its capabilities but also frustration when the suggestions were unhelpful or incorrect.
3. There are several negative interaction patterns that novices demonstrate when using Copilot like Shepherding (type out suggestions character by character) or Drifting (adapting incorrect code which leads further away from a solution)
4. Novices noticed the benefits in learning (exploration) and going faster (acceleration) with Copilot.
5. Novices were concerned about the ethical implications of using Copilot, such as over-reliance, academic misconduct, and bias in the training data.","1) Studying how students' use and interaction with Copilot evolves over a longer period of time, such as an entire semester, as they gain more programming experience.
2) Investigating the reasons behind the observations made in the current study, such as whether the constant presence of Copilot's code suggestions increases the cognitive load for novice programmers.
3) Examining how AI code generators like Copilot can be most effectively incorporated into introductory programming classrooms.
4) Investigating how such design implications as control of the prompt length, metacognitive scaffolding (providing an unobtrusive UI element directly above the suggested code to allow users to cycle through different code suggestions), utilizing user-centered XAI design techniques, e.g., by presenting conversational dialogues.",Impact,Unspecified,Educational,3.5
A Case Study in Engineering a Conversational Programming Assistant's Persona,"Steven I Ross, Michael Muller, Fernando Martinez, Ibm Argentina, Argentina Stephanie Houde, Justin D Weisz, Stephanie Houde",Industry,https://doi.org/10.48550/arXiv.2301.10016,2023,HAI-GEN at IUI'2023,"The goal of this paper is to present a case study on how the authors engineered the prompt for a conversational programming assistant called the ""Programmer's Assistant"" in order to achieve the desired persona and behavior.","1. Could the general-purpose large language model power a conversational programming assistant?
3. Whether a conversational interaction style would prove useful and acceptable to potential users?","1. Prompt Engineering: Iterative prompt modifications helped establish a conversational and helpful assistant persona.
2. Reducing Overconfidence: Emphasizing humility in responses reduced overconfidence and made the assistant more receptive to corrections.
3. Artifact-Centric Interaction: Enabling context-aware interactions improved user experience, especially with code-related queries.","1. Using a dynamic prompt with more relevant examples or retrieving pertinent information to improve the assistant's responses.
2. Improving the memory management of the assistant by removing redundant information while preserving useful context.
3. Exploring ""internal deliberation"" to improve the reasoning and explanations provided by the assistant.",Form,Unspecified,Professional,2.5
A Case Study on Scaffolding Exploratory Data Analysis for AI Pair Programmers,"Haoquan Zhou, Jingbo Li",Academia,https://doi.org/10.1145/3544549.3583943,2023,CHI EA'23,"The goal of the study is to investigate how data scientists can use the AI-based code generation tool GitHub Copilot to aid in exploratory data analysis tasks, and to understand the factors that influence the performance of GitHub Copilot in these tasks, as well as the potential drawbacks and future improvements needed for GitHub Copilot to be more useful for data science.","1) How do the number of prompts, the structure of prompts, and the interaction pattern between data scientists and GitHub Copilot, infuence the performance of GitHub Copilot in exploratory data analysis tasks?
2) What are the potential drawbacks of using GitHub Copilot?
3) What future improvements can be made to GitHub Copilot for use in data science?","1. The choice of terminology, arrangement of word order, and repetition of keywords in the prompts can influence whether GitHub Copilot can generate functionally correct code.
2. Insufficient interaction between the human and GitHub Copilot can lead to either over-trusting or under-trusting the AI's abilities, resulting in the failure of data analysis tasks.
3. GitHub Copilot has limitations, such as ignoring information in the prompts provided by users.","1. Expand the sample size to get more robust and generalizable findings.
2. Investigate the stability and consistency issues with GitHub Copilot's code generation.
3. Propose feasible solutions to the problems identified, such as ways to improve the interaction between users and GitHub Copilot.",Impact,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
A Large-Scale Survey on the Usability of AI Programming Assistants: Successes and Challenges,"Jenny T Liang, Chenyang Yang, Brad A Myers",Academia,https://doi.org/10.48550/arXiv.2303.17125,2023,International Conference on Software Engineering,The goal of this paper is to understand developers' practices while using AI programming assistants and the important usability challenges they face.,"1. What are the usage practices and motivations of developers when using AI programming assistants?
2. What are the key usability challenges that developers face when using AI programming assistants?","1. Participants who were GitHub Copilot users reported a median of 30.5% of their code being written with its help.
2. The most important reasons for using AI programming assistants were for autocomplete, completing programming tasks faster, or skipping going online to recall syntax.
3. Participants successfully used these tools to generate code that was repetitive or had simple logic, but the most important reasons for not using AI programming assistants were because the code that the tools generated did not meet functional or non-functional requirements and because it was difficult to control the tool.
4. The most frequent usability challenges participants reported encountering were understanding what part of the input caused the outputted code, giving up on using the outputted code, and controlling the tool to generate helpful code suggestions.
5. Participants most often gave up on outputted code because the code did not perform the intended action or did not account for certain fun","1. Investigating new interaction techniques to support the ""acceleration mode"" usage of AI programming assistants, where developers use the tools to quickly complete known tasks, while requiring minimal cognitive effort to avoid distracting the developers.
2. Understand what can be done to support the ""exploration mode"" usage of AI
3. Studying how to better align AI programming assistants with the needs and requirements of developers, including facilitating ways for developers to explicitly describe their software design knowledge to the tools.
4. Investigating methods for supporting chat-based interactions with AI programming assistants, similar to ChatGPT, without negatively impacting developers' efficiency and flow while programming.
5. Get more data on the people not interested in AI who are underrepresented in the current study
6. Design new metrics to increase developer-tool alignment
7. Investigate avenues for incorporating non-functional requirements such as readability and per","Impact, Quality",Unspecified,Professional,4
A Mixed Reality Approach for Innovative Pair Programming Education with a Conversational AI Virtual Avatar,"Gilda Manfredi, Ugo Erra, and Gabriele Gilio",Academia,https://doi.org/10.1145/3593434.3593952,2023,EASE'23,"The goal of this paper is to present a novel approach that utilizes mixed reality (MR) technology and a conversational intelligent virtual avatar to enable users to learn the pair programming (PP) methodology without the need for a human partner, addressing the challenges of distributed and in-person PP.",Can using the Virtual Avatar tool increase productivity and coding skills?,"1. The proposed MR educational solution for pair programming (PP) leverages a conversational intelligent virtual avatar to guide and provide suggestions to the user during the PP process.
2. The system integrates a conversational agent (CA) extension into Visual Studio Code to provide real-time suggestions for code improvement, which are then transmitted to the HoloLens MR application.
3. The virtual avatar speaks and interacts with the user, creating an immersive learning experience, and a single developer can learn and apply the PP methodology without a human partner in the MR environment.
4. Preliminary results indicate that participants who used the proposed application for PP showed a statistically significant improvement in their coding skills compared to the control group, and they expressed high satisfaction with the application's features, usability, and effectiveness in addressing the challenges of finding and collaborating with a human partner.","The future work suggested in the paper is to conduct more extensive and controlled evaluations of the MR educational solution for pair programming, in order to obtain more robust evidence of its effectiveness. This includes investigating the long-term impact of the application on participants' learning outcomes and refining the application based on the feedback received.",Form,Unspecified,Educational,2.5
A Study on Developer Behaviors for Validating and Repairing LLM-Generated Code Using Eye Tracking and IDE Actions,"Ningzhi Tang, Meng Chen, Zheng Ning, Aakash Bansal, Yu Huang, Collin Mcmillan, Toby Jia, Jun Li",Academia,DOI: 10.1109/VL/HCC60511.2024.00015,2024,VL/HCC'24,"The goal of this paper is to investigate how developers validate and repair code generated by large language models (LLMs), specifically GitHub Copilot, and to examine the impact of code provenance awareness on their validation and repair strategies.","RQ1. What is developers’ perception of LLM-generated code compared to human-written code?
RQ2. What are the differences in the strategies of developers to validate and repair LLM-generated code versus human-written code? 
RQ3. How does awareness of code provenance affect the validation and repair behaviors of developers?","1. Developers often do not recognize the provenance of code unless explicitly informed.
2. LLM-generated code exhibits better coding style and readability compared to human-written code, but also unique errors that human developers do not typically make.
3. Developers employ similar validation and repair strategies for LLM-generated code as they do for human-written code, but also display distinct behaviors like frequent switching between code and comments and a tendency to delete and rewrite the code.","1. Systematically investigating the characteristics of LLM-generated code from a human perception perspective, to inform the development of more effective tools for developers working with LLM-generated code.
2. Expanding the research to include professional developers in long-term, real-world studies.
3. Incorporating additional biometric sensors, such as heart rate monitors and fMRI, to gain a better understanding of the cognitive processes involved in software development.",Impact,"Maintenance: After the software is already released, it may need some modifications, improvements, errors correction, and refinement accordingly.",Professional,4
A Transformer-Based Approach for Smart Invocation of Automatic Code Completion,"Aral de Moor, Arie van Deursen, Maliheh Izadi",Academia,https://doi.org/10.1145/3664646.3664760,2024,AIware'24,The goal of the paper is to train a machine learning model that can accurately predict when to invoke a code completion tool given the code context and available telemetry data.,1. How to proactively predict when to invoke a code completion model based on code context and telemetry data?,"1. Transformer-based models like CodeBERTa can significantly outperform baseline logistic regression models at filtering out unhelpful code completion suggestions, by leveraging the semantic understanding of code context.
2. Integrating telemetry data (user interaction features) with the code context in a transformer model, like the JonBERTa variants, can further improve the accuracy of the invocation filtering.
3. The proposed invocation filtering models were effective in a real-world deployment with 34 developers, with the JonBERTa-head model performing the best in terms of balancing completion quality and timing.","1. Exploring the search space further using a larger dataset to better represent the diverse behaviors of developers.
2. Investigating the personalization of the invocation-filtering system, as related work has shown promising results in this area.
3. Studying the long-term impact of the code completions on developer productivity and code quality, as delivering completions exactly when requested may not always align with developers' true needs.","Impact, Quality",Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
A User-centered Security Evaluation of Copilot,"Owura Asare, N Asokan, Meiyappan Nagappan",Academia,https://doi.org/10.1145/3597503.3639154,2024,ICSE'24,This paper aims to perform a user-centered evaluation of GitHub's Copilot to better understand its strengths and weaknesses regarding code security.,"(1) Does Copilot use correlate with participants writing more secure code?
(2) Are there vulnerability types that Copilot is more susceptible to or more resilient against?","1. The use of Copilot appears to correlate with participants writing more secure code, but only for the more difficult problem. For the easier problem, there was no significant difference in security performance between the group that used Copilot and the group that did not.
2. The use of Copilot did not have a disproportionate impact on the presence of any particular vulnerability type.","1. Conducting a more targeted user study with multiple problems of varying difficulty levels, and using proxies for both problem difficulty and security to further investigate the finding that Copilot may be more beneficial for harder problems.
2. Ensuring that future research and testing of code generation tools use problems that are above a certain level of complexity rather than trivial problems to get more meaningful and generalizable results.
3. Exploring how the security experience of users of code generation tools affects the security of the code they generate with the assistance of these tools.",Quality,Coding: In this phase the whole requirements will be converted to the production environment.,Professional,4
AI Tool Use and Adoption in Software Development by Individuals and Organizations: A Grounded Theory Study,"Z E Shi,  Li, Daniela Damian, Bowen Xu, Ze Shi Li, Nowshin Nawar Arony, Ahmed Musa Awon",Academia,https://doi.org/10.48550/arXiv.2406.17325,2024,arXiv,The goal of this publication is to fill a research gap in understanding the factors that impact the adoption and use of AI tools by individuals and organizations in software development.,"1) What are the individual and organizational motives that impact the adoption and use of AI tools in software development?
2) What are the individual and organizational challenges that impact the adoption and use of AI tools in software development?","1. Individual Motives to use AI tools: Learning and Debugging, Discussion with peers
2. Organizational Motives: Creating a culture of sharing, Providing and promoting the tool, Providing guidance and training
3. Individual Challenges that limit AI tool use and adoption: Fear of decreased skills, Limited AI Capabilities for Software Development,  Lack of prompting skill,s Potential judgment
4. Organizational Challenges: Lack of culture of sharing, Company does not cover the cost of the tool, Lack of company guideline","1. Investigating security and privacy mechanisms to protect confidential data when using AI tools, including prompt sanitization.
2. Conducting more empirical research on the organizational factors, such as culture and size, that impact the use and adoption of AI tools by practitioners.
3. Studying the content and structure of training materials and manuals to help practitioners become more effective users of AI tools, particularly around prompt engineering.",Impact,Unspecified,Professional,4
